      -------Part 1--------   --------Part 2--------
Day       Time  Rank  Score       Time   Rank  Score
 17   00:56:20  2516      0   01:01:37   2201      0
 16   01:16:59  6207      0   02:10:08   4487      0
 15   00:48:15  5020      0   01:20:22   5036      0
 14   01:36:18  6491      0   12:12:13  15271      0
 13   00:11:43  2298      0   03:15:56   4651      0
 12   00:14:06  1633      0   00:35:26   2100      0
 11   00:29:04  2194      0   01:00:10   2869      0
 10   00:11:41  3024      0   09:53:59  18251      0
  9   00:07:48  1330      0   00:12:45    847      0
  8   00:11:32  2828      0   00:24:34   2311      0
  7   00:47:39  4337      0   00:58:29   3156      0
  6   00:15:42  5671      0   00:28:12   5231      0
  5   00:23:42  4332      0   00:27:58   3494      0
  4   00:36:09  6744      0   01:09:01   5008      0
  3   00:13:20  3342      0   00:50:25   7069      0
  2   00:24:51  5107      0   00:28:22   4296      0
  1   00:11:11  2031      0   00:12:41   1746      0
